smiles,IC50_nM,pIC50,Fingerprint
Nc1cccc(Nc2ncc3cc(-c4cccc(N)c4)ccc3n2)c1,10000.0,5.0,[0 0 0 ... 0 0 0]
Cc1ccc(-c2n[nH]c3ccc(-c4nncn4C(C)C)cc23)cc1-n1cnc(C2CC2)c1,8729.0,5.0590355065072,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccc(-c4cnn(C5CCOCC5)c4)cc3[nH]2)n1,73.7,7.132532512140949,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2F)n1,100.0,7.0,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)C2CN(C)CCO2)n1,2.0,8.698970004336019,[0 1 0 ... 0 0 0]
COc1ccc(OC)c(Nc2nc(N)nc3[nH]cnc23)c1,18900.0,4.723538195826756,[0 0 0 ... 0 0 0]
O=C1Nc2cccc(n2)-c2nncn2CCCCCOc2ccccc21,100.0,7.0,[0 0 1 ... 0 0 0]
Cc1c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)oc2ccccc12,1106.0,5.95624487303132,[0 1 0 ... 0 0 0]
Cc1c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)[nH]c2ccccc12,88.2,7.054531414868181,[0 1 0 ... 0 0 0]
C[C@H](CO)n1cnnc1-c1cccc(NC(=O)Nc2cc3ccccn3n2)n1,33.8,7.471083299722345,[0 1 0 ... 0 0 0]
NC[C@H](Oc1cnc(-c2ccoc2)c(-c2c[nH]c3ncccc23)c1)c1ccccc1,7.9,8.102372908709558,[0 1 0 ... 0 0 0]
O=C(NCCO)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1,10000.0,5.0,[0 0 0 ... 0 0 0]
O=C(O)C(Cc1ccccc1)N1C(=O)/C(=C/c2ccncc2)SC1=S,33000.0,4.481486060122113,[0 1 0 ... 0 0 0]
Clc1cccc(Nc2ncc3ccccc3n2)c1,10000.0,5.0,[0 0 0 ... 0 0 0]
CC(n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CCCCC3)cn2)cs1)C(F)(F)F,0.7,9.154901959985743,[0 1 1 ... 0 0 0]
CN(C)c1cccc(Nc2ncnc3[nH]cnc23)c1,10000.0,5.0,[0 0 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccnc3ccccc23)n1,3258.0,5.48704892002751,[0 1 0 ... 0 0 0]
CC1(O)CN(c2cnc(C(=O)Nc3csc(-c4nncn4C4CC4)n3)cc2-n2cnc(C3CC3)c2)C1,1.58,8.801342913045577,[0 0 0 ... 1 0 0]
O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccc(N3CCOCC3)cc21,100.0,7.0,[0 0 0 ... 0 0 0]
CCCN(CCC)c1[nH]cnc2ncnc1-2,25800.0,4.58838029403677,[0 0 0 ... 0 0 0]
C[C@H](c1ccccc1)N1c2cc(-n3c(=O)[nH]c4ncccc43)ccc2C(=O)NC1(C)C,1000.0,6.0,[0 1 0 ... 0 0 0]
Cc1ccc2c(c1)C(=O)Nc1cccc(n1)-c1nncn1CCCCO2,100.0,7.0,[0 0 0 ... 0 0 0]
Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,10000.0,5.0,[0 0 0 ... 0 0 0]
CCCC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3ccc(Br)cc3)o2)SC1=S,500.0,6.301029995663981,[0 1 0 ... 0 0 0]
Cc1ccc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)[nH]c2c1,32.8,7.484126156288321,[0 1 0 ... 0 0 0]
C[C@H](n1cnnc1-c1cccc(NC(=O)c2cccn(C)c2=O)n1)C(F)(F)F,18.0,7.7447274948966935,[0 1 0 ... 0 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C2(C(F)(F)F)CC2)n1,31.0,7.508638306165727,[0 0 0 ... 0 0 0]
CCn1cc(C(=O)Nc2cccc(-c3nncn3[C@@H](C)C(F)(F)F)n2)c(OC)n1,13.0,7.886056647693163,[0 1 0 ... 0 0 0]
COc1ccccc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,53.0,7.275724130399211,[0 1 0 ... 0 0 0]
COc1ncccc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,27.0,7.568636235841012,[0 1 0 ... 0 0 0]
CCC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3cc(Cl)ccc3Cl)o2)SC1=S,500.0,6.301029995663981,[0 1 0 ... 0 0 0]
O=C(O)CN1C(=O)/C(=C/c2ccncc2)SC1=S,33000.0,4.481486060122113,[0 0 0 ... 0 0 0]
COC(=O)CCCN1C(=O)/C(=C/c2ccc(-c3ccccc3F)o2)SC1=S,33000.0,4.481486060122113,[0 0 0 ... 1 0 0]
CS(=O)(=O)Nc1cc(-c2ccncc2)cnc1Cl,10000.0,5.0,[0 0 0 ... 0 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@H]2CCOC2)n1,8.0,8.096910013008056,[0 0 0 ... 1 0 0]
COc1ccccc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,3.0,8.522878745280337,[0 1 0 ... 0 0 0]
COC[C@@H](C)n1cnnc1-c1cccc(NC(=O)c2cn(C)nc2OC)n1,403.0,6.39469495385889,[0 1 0 ... 0 0 0]
O=C(O)CCCN1C(=O)/C(=C/c2ccc(-c3c(Cl)cccc3Cl)o2)SC1=S,500.0,6.301029995663981,[0 0 0 ... 1 0 0]
CCOC(=O)c1ccc(-c2ccc(/C=C3\SC(=S)N(C(CC(=O)O)C(C)=O)C3=O)o2)cc1,800.0,6.096910013008056,[0 1 0 ... 0 0 0]
O=C(O)CN1C(=O)/C(=C/c2ccc(-c3ccccc3Cl)o2)SC1=S,1250.0,5.903089986991944,[0 0 0 ... 0 0 0]
CCn1cc(Cl)c2cnc(NC(=O)c3ccc([C@](C)(O)CO)cc3)cc21,12.0,7.920818753952375,[0 0 0 ... 0 0 0]
Cn1cc(Cl)c2cnc(NC(=O)c3ccc([C@@](C)(O)CO)cc3)cc21,19.0,7.721246399047171,[0 0 0 ... 0 0 0]
C[C@H](n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CCCC3)cn2)cs1)C(F)(F)F,2.2,8.657577319177793,[0 1 0 ... 0 0 0]
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,14.0,7.853871964321762,[0 0 0 ... 0 0 0]
CSc1nc(N)nc2[nH]cnc12,13300.0,4.876148359032914,[0 0 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C3CC3)n[nH]2)n1,123.7,6.907630300370879,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2nccc3ccccc23)n1,48.5,7.314258261397736,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc3ccccc3cn2)n1,50.6,7.2958494831602,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2nn(C)c3ccccc23)n1,259.3,6.586197483230649,[0 1 0 ... 0 0 0]
O=C(O)c1ccc(N2C(=O)/C(=C/c3cccnc3)SC2=S)cc1,33000.0,4.481486060122113,[0 0 0 ... 0 0 0]
O=C(O)CC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3c(Cl)cccc3Cl)o2)SC1=S,1000.0,6.0,[0 1 0 ... 0 0 0]
Cc1cc(C)c2nc(N3C(=O)C(O)=C(C(=O)c4ccco4)C3c3ccccc3)sc2c1,63000.0,4.200659450546418,[0 0 0 ... 0 0 0]
CCOc1ccc(C(=O)C2=C(O)C(=O)N(c3nc4ccc(C)cc4s3)C2c2ccc(F)cc2)cc1,5500.0,5.259637310505756,[0 0 0 ... 0 0 0]
CC(C)n1cc(-c2cc(C(=O)Nc3cccc(-c4nncn4C4CC4)n3)c(=O)n(Cc3ccccc3F)c2)cn1,9.13,8.039529222465701,[0 1 0 ... 1 0 0]
Cc1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)nn1C,142.7,6.845576026885353,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C3CC3)nn2C)n1,10000.0,5.0,[0 1 0 ... 0 0 0]
CS(=O)(=O)c1ccc2c(c1)C(=O)Nc1cccc(n1)-c1nncn1CCCCO2,1437.0,5.842543231865774,[0 0 0 ... 0 0 0]
COc1ccccc1C(=O)Nc1cccc(-c2nncn2C)n1,92.0,7.036212172654444,[0 0 0 ... 0 0 0]
C[C@H]1CCCOc2cc(F)ccc2C(=O)Nc2cccc(n2)-c2nncn21,7.0,8.154901959985743,[0 0 0 ... 0 0 0]
CN(C)CCn1cc(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)cn1,6.0,8.221848749616356,[0 0 0 ... 0 0 0]
COc1ccccc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,299.0,6.52432881167557,[0 1 0 ... 0 0 0]
O=C1Nc2cccc(n2)-c2nncn2CCCOc2ccccc21,6065.0,5.217169194797409,[0 0 0 ... 0 0 0]
COCCNC(=O)c1cccc(-c2n[nH]c3ccc(-c4nncn4C(C)C)cc23)c1,245.0,6.610833915635467,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(C(=O)Nc4cnn(C)c4)c3)c2c1,144.0,6.84163750790475,[0 1 0 ... 0 0 0]
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4cccc4)ccc3n2)cc1,30.0,7.522878745280337,[0 0 0 ... 0 0 0]
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1,16.0,7.795880017344075,[0 0 0 ... 0 0 0]
Cc1ccc2nc(N3C(=O)C(O)=C(C(=O)c4ccco4)C3c3ccc(Br)cc3)sc2c1,28200.0,4.549750891680639,[0 0 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccccn2)n1,43.4,7.36251027048749,[0 1 0 ... 0 0 0]
O=C(O)CCCCCN1C(=O)/C(=C/c2ccc(-c3cccc(C(F)(F)F)c3)o2)SC1=S,500.0,6.301029995663981,[0 0 0 ... 0 0 0]
COC(=O)CCCN1C(=O)/C(=C/c2ccc(-c3ccc(Br)cc3)o2)SC1=S,33000.0,4.481486060122113,[0 0 0 ... 1 0 0]
COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cc1,10000.0,5.0,[0 0 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(N(C)C(=O)N(C)c2cc3ccccn3n2)n1,6641.0,5.177766519761156,[0 1 0 ... 0 0 0]
CCOC(C)n1cc(-c2cccc(-c3n[nH]c4ccc(-c5nncn5C(C)C)cc34)c2)cn1,29.9,7.52432881167557,[0 1 0 ... 0 0 0]
COc1cc(-c2n[nH]c3ccc(-c4nncn4C(C)C)cc23)cc(-n2cnc(C3CC3)c2)c1,11294.0,4.9471522165991395,[0 1 0 ... 0 0 0]
CCCOc1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2c2nc3ccc(C)cc3s2)cc1,2000.0,5.698970004336019,[0 0 0 ... 0 0 0]
Cc1ccc(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)c(F)c1,50.12,7.299988937677888,[0 1 0 ... 0 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C2CCC2(F)F)n1,5.0,8.301029995663981,[0 0 0 ... 0 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,17.0,7.769551078621726,[0 1 0 ... 0 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C2CCC2(F)F)n1,7.0,8.154901959985743,[0 0 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cccc(-c4ccncc4)c3[nH]2)n1,23.1,7.636388020107855,[0 1 0 ... 0 0 0]
C[C@H](CO)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3[nH]2)n1,65.5,7.183758700008217,[0 1 0 ... 0 0 0]
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4ccccc4)ccc3n2)cc1,82.0,7.086186147616283,[0 0 0 ... 0 0 0]
Cn1cc(/C=C2\C(=O)Nc3ccccc32)c2ccccc21,100000.0,4.0,[0 0 0 ... 0 0 0]
O=C(O)CCCN1C(=O)/C(=C/c2ccc(-c3ccccc3F)o2)SC1=S,3000.0,5.522878745280337,[0 0 0 ... 1 0 0]
CSCCC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3ccc(Cl)c(Cl)c3)o2)SC1=S,750.0,6.1249387366083,[0 1 0 ... 0 0 0]
CCC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3cccc(Cl)c3)o2)SC1=S,750.0,6.1249387366083,[0 1 0 ... 0 0 0]
CCc1ccc(-c2ccc(/C=C3\SC(=S)N(C(CC(=O)O)C(=O)O)C3=O)o2)cc1,1800.0,5.7447274948966935,[0 1 0 ... 0 0 0]
O=C(C1=C(O)C(=O)N(c2nc3ccc(F)cc3s2)C1c1ccc(Br)cc1)c1ccco1,28200.0,4.549750891680639,[0 0 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)OCc2cncn2-3)n1,31.0,7.508638306165727,[0 1 0 ... 0 0 0]
CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,27542.0,4.560004526046192,[0 0 1 ... 0 0 0]
O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CCCC2)cn1,1.9,8.721246399047171,[0 0 0 ... 1 0 0]
C[C@H](n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CCC(C)(O)CC3)cn2)cs1)C(F)(F)F,1.8,8.744727494896694,[0 1 0 ... 0 0 0]
O=C1Nc2cccc(n2)-c2nncn2CCCCCOc2ccccc21,1000.0,6.0,[0 0 1 ... 0 0 0]
O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccc(N3CCOCC3)cc21,100.0,7.0,[0 0 0 ... 0 0 0]
COc1ncc(-c2cc3c(c(NC(=O)CN4CCOCC4)c2)COC3)cc1NS(C)(=O)=O,10000.0,5.0,[0 0 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2nc3ccccc3[nH]2)n1,110.8,6.955460239607589,[0 1 0 ... 0 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C(C)C)c1,6164.0,5.210137369953618,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(C(F)(F)F)nn(C)c3nc2OCc2ccccc2F)n1,5000.0,5.301029995663981,[0 1 0 ... 0 0 0]
O=C(Nc1cccc(-c2nncn2C2CC2)n1)c1cc(-c2cccnc2)cn(Cc2ccccc2F)c1=O,5000.0,5.301029995663981,[0 0 0 ... 1 0 0]
CCn1ccc2cnc(NC(=O)c3ccc([C@@](C)(O)CO)c(C)c3)cc21,528.0,6.277366077466188,[0 0 0 ... 0 0 0]
Cc1cn(C)c2cc(NC(=O)c3ccc(C(C)(C)O)cc3)ncc12,29.0,7.537602002101044,[0 0 0 ... 0 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C2(C(F)(F)F)CC2)n1,1.0,9.0,[0 0 0 ... 0 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C2CC(F)(F)C2)n1,316.0,6.500312917381596,[0 0 0 ... 1 0 0]
COc1nn(-c2cnccn2)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,58.0,7.236572006437063,[0 1 0 ... 0 0 0]
CCn1cc(C(=O)Nc2cccc(-c3nncn3[C@@H](C)C(F)(F)F)n2)c(OC)n1,2.0,8.698970004336019,[0 1 0 ... 0 0 0]
COc1ncccc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,7.0,8.154901959985743,[0 1 0 ... 0 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@H](C)C(F)F)n1,143.0,6.844663962534938,[0 1 0 ... 0 0 0]
Cn1nc(C(F)(F)F)c2cc(C(=O)Nc3cccc(-c4nncn4C4CCCC4)c3)c(=O)[nH]c21,5000.0,5.301029995663981,[0 0 0 ... 1 0 0]
O=C(Nc1cccc(-c2nncn2C2CC2)n1)c1cc(Br)cn(Cc2ccccc2F)c1=O,5000.0,5.301029995663981,[0 0 0 ... 1 0 0]
CC(C)(O)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,70.0,7.154901959985743,[0 0 0 ... 0 0 0]
CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,25000.0,4.6020599913279625,[0 0 0 ... 0 0 0]
CCCCOc1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2c2nc3ccc(Cl)cc3s2)cc1OCC,3600.0,5.443697499232712,[0 0 0 ... 0 0 0]
Cc1ccc(C(=O)C2=C(O)C(=O)N(c3nc4ccc(F)cc4s3)C2c2ccc(C(C)(C)C)cc2)o1,1550.0,5.809668301829708,[0 0 0 ... 0 0 0]
Cn1cc(Br)c2cnc(NC(=O)c3ccc([C@@](C)(O)CO)cc3)cc21,20.0,7.698970004336019,[0 0 0 ... 0 1 0]
C[C@H](n1cnnc1-c1cccc(NC(=O)c2cccc3c2OCCN3C)n1)C(F)(F)F,187.0,6.7281583934635005,[0 1 0 ... 0 0 0]
COc1ncc(F)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,25.0,7.6020599913279625,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3ccc(N4CCOCC4)c(-n4cnc(C5CC5)c4)c3)c2c1,31.8,7.497572880015567,[0 1 0 ... 0 0 0]
O=C(O)CCCCCN1C(=O)/C(=C/c2ccc(-c3ccc(Br)cc3)o2)SC1=S,200.0,6.698970004336019,[0 0 0 ... 0 0 0]
O=C(O)CCCN1C(=O)/C(=C/c2ccc(-c3ccc(Br)cc3)o2)SC1=S,200.0,6.698970004336019,[0 0 0 ... 1 0 0]
Cc1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)[nH]n1,141.9,6.848017604542526,[0 1 0 ... 0 0 0]
C[C@H](CO)n1cnnc1-c1cccc(NC(=O)Nc2cnc3ccccc3n2)n1,113.9,6.943476275920899,[0 1 0 ... 0 0 0]
